barcode,product_name,brands,primary_brand,query_category,off_categories,primary_country,nova_group,nutriscore_grade,energy_kcal,fat_100g,saturated_fat_100g,carbs_100g,sugars_100g,protein_100g,salt_100g,image_url,health_wash_score_v1,upf_markers_found,functional_claims_found,negative_claims_found,has_artificial_sweetener,ht_sugar_loophole,ht_protein_masks_fat,ht_fibre_distraction,ht_vegan_calorie_trap,tier,sampling_reason
640904301614,,emmi,emmi,beverages,"Aliments et boissons à base de végétaux, Boissons, Produits laitiers, Aliments d'origine végétale, Boissons lactées, Cafés, Boissons au café, Boissons lactées au café",France,3.0,C,75.774,6.3928,2.625,13.74015,6.80965,4.9568,0.117789,https://images.openfoodfacts.org/images/products/064/090/430/1614/front_fr.3.400.jpg,0.0,,,,0.0,0.0,0.0,0.0,0.0,1,tier1_named_brand:emmi
7610900045976,Jogurtpur framboise Emmi,"emmi,jogurtpur",emmi,dairy-desserts,"Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Fermented dairy desserts with fruits, Yogurts, Fruit yogurts, Raspberry yogurts",Switzerland,3.0,C,94.0,2.5,1.5,13.0,13.0,4.5,0.0002,https://images.openfoodfacts.org/images/products/761/090/004/5976/front_en.28.400.jpg,0.0,,,,0.0,0.0,0.0,0.0,0.0,1,tier1_named_brand:emmi
7610900128266,Yogourt nature ferme,emmi,emmi,dairy-desserts,Yaourts natures,"France,Switzerland",,B,66.0,3.5,2.1,3.6,3.6,4.3,0.09,https://images.openfoodfacts.org/images/products/761/090/012/8266/front_fr.14.400.jpg,0.0,,,,0.0,0.0,0.0,0.0,0.0,1,tier1_named_brand:emmi
7610900157020,"Micao Choco Drink, Schokolade",emmi,emmi,beverages,"Boissons,Produits laitiers,Boissons lactées","France,Switzerland",4.0,C,57.0,0.4,0.3,9.7,9.6,3.3,0.11,https://images.openfoodfacts.org/images/products/761/090/015/7020/front_fr.4.400.jpg,0.0,,fortification_claim,,0.0,0.0,0.0,0.0,0.0,1,tier1_named_brand:emmi
7610900292752,CAFFÈ WENDY,emmi,emmi,beverages,"Beverages, Coffee drinks, Iced coffees",Switzerland,1.0,C,68.0,4.3,2.5,4.3,3.9,2.9,0.0775,https://images.openfoodfacts.org/images/products/761/090/029/2752/front_en.15.400.jpg,0.0,,,,0.0,0.0,0.0,0.0,0.0,1,tier1_named_brand:emmi
7610900227990,Republic of blends Macchiato,emmi,emmi,beverages,"Aliments et boissons à base de végétaux,Boissons,Produits laitiers,Aliments d'origine végétale,Boissons lactées,Laits aromatisés,Cafés,Boissons au café,Boissons avec sucre ajouté,en:groceries,Café froid,Macchiato",France,3.0,E,79.28,4.0,2.4,7.9,7.4,2.7,0.07,https://images.openfoodfacts.org/images/products/761/090/022/7990/front_en.46.400.jpg,0.0,,,,0.0,0.0,0.0,0.0,0.0,1,tier1_named_brand:emmi
7610900063734,Yogourt Fruits de bois,emmi,emmi,dairy-desserts,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts, Yaourts aux fruits, Yaourts aux fruits avec morceaux, Yaourts mixés, Yaourt aromatisé sucré",Switzerland,4.0,C,36.8068833652007,2.9,1.7,15.0,14.0,4.0,0.07,https://images.openfoodfacts.org/images/products/761/090/006/3734/front_fr.19.400.jpg,3.0,starch,,,0.0,0.0,0.0,0.0,0.0,1,tier1_named_brand:emmi
7610900260409,Energy drink,emmi,emmi,beverages,"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux",Switzerland,4.0,B,69.0,3.2,0.4,0.8,0.4,8.0,0.55275,https://images.openfoodfacts.org/images/products/761/090/026/0409/front_fr.8.400.jpg,3.0,emulsifier,fortification_claim,,0.0,0.0,0.0,0.0,0.0,1,tier1_named_brand:emmi
7610900129157,Yogourt banane,emmi,emmi,dairy-desserts,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Desserts lactés fermentés aux fruits,Yaourts,Yaourts aux fruits,Yaourts à la banane",Switzerland,4.0,C,92.0,2.8,1.7,13.0,12.0,3.0,0.08,https://images.openfoodfacts.org/images/products/761/090/012/9157/front_fr.6.400.jpg,3.0,starch,,,0.0,0.0,0.0,0.0,0.0,1,tier1_named_brand:emmi
7610900045099,Yogourt Framboise,"emmi, cristallina",emmi,dairy-desserts,en:yogurts,"France,Germany,Switzerland",4.0,C,100.0,3.0,1.8,14.0,13.0,3.5,0.1,https://images.openfoodfacts.org/images/products/761/090/004/5099/front_fr.29.400.jpg,6.0,added_flavour|starch,,,0.0,0.0,0.0,0.0,0.0,1,tier1_named_brand:emmi
7613100028855,Yogourt stracciatella Toni,"emmi,toni",emmi,dairy-desserts,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Yaourts aromatisés",Switzerland,4.0,C,127.0,4.5,2.8,17.0,16.0,4.0,0.08,https://images.openfoodfacts.org/images/products/761/310/002/8855/front_fr.32.400.jpg,6.0,thickener|starch,,,0.0,0.0,0.0,0.0,0.0,1,tier1_named_brand:emmi
7610900250233,Energy milk,emmi,emmi,dairy-desserts,"Produits laitiers, Desserts, Desserts lactés, Crèmes dessert, Crèmes dessert rayon frais, en:refrigerated-vanilla-puddings, en:vanilla-puddings",Switzerland,4.0,A,76.0,1.4,0.8,4.7,4.7,10.0,0.33,https://images.openfoodfacts.org/images/products/761/090/025/0233/front_fr.3.400.jpg,9.0,artificial_sweetener,,,1.0,0.0,0.0,0.0,0.0,1,tier1_named_brand:emmi
